Composition (at. %),Material condition,Processing history,Phase,Grain_size_um,Density_g_cm3,Hardness_GPa,Youngs_modulus_GPa,Yield_strength_MPa,UTS_MPa,Final_elongation_percent,Testing_temperature_K,Fracture_toughness_MPa_m0.5,Toughness_measure,Toughness_uncertainty_MPa_m0.5,Reference
Al10.53-B5.26-Co10.53-Cr10.53-Cu10.53-Fe10.53-Mo10.53-Ni10.53-Si10.53-Ti10.53,as-synthesized,laser-solidified,B2+matrensite,,,11.3,187.1,,,,298.0,50.9,KIC,,"Zhang, H., He, Y. & Pan, Y. Enhanced hardness and fracture toughness of the laser-solidified FeCoNiCrCuTiMoAlSiB0.5 high-entropy alloy by martensite strengthening. Scr. Mater. 69, 342-345, doi:10.1016/j.scriptamat.2013.05.020 (2013)."
Al42.86-Co14.29-Cr14.29-Fe14.29-Ni14.29,as-synthesized,laser-solidified,B2,,,7.5,117.9,,,,298.0,7.6,KIC,,"Zhang, H., He, Y. & Pan, Y. Enhanced hardness and fracture toughness of the laser-solidified FeCoNiCrCuTiMoAlSiB0.5 high-entropy alloy by martensite strengthening. Scr. Mater. 69, 342-345, doi:10.1016/j.scriptamat.2013.05.020 (2013)."
Al23.23-Co15.15-Cr23.23-Cu8.08-Fe15.15-Ni15.15,as-cast,VIM,BCC+B2,,,5.34,,,,,298.0,5.8,KIC,0.2,"Roy, U., Roy, H., Daoud, H., Glatzel, U. & Ray, K. K. Fracture toughness and fracture micromechanism in a cast AlCoCrCuFeNi high entropy alloy system. Mater. Lett. 132, 186-189, doi:10.1016/j.matlet.2014.06.067 (2014)."
Al23.23-Co15.15-Cr23.23-Cu8.08-Fe15.15-Ni15.15,as-cast,VIM,BCC+B2,,,5.34,,,,,298.0,5.4,KIC,0.2,"Roy, U., Roy, H., Daoud, H., Glatzel, U. & Ray, K. K. Fracture toughness and fracture micromechanism in a cast AlCoCrCuFeNi high entropy alloy system. Mater. Lett. 132, 186-189, doi:10.1016/j.matlet.2014.06.067 (2014)."
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ni20.00,annealed,arc-melted + cold-forged and cross-rolled (~60% reduction) + annealed (800°C & 1h),FCC,6.0,,,202.0,410.0,763.0,57.0,293.0,217.0,KIC,,"Gludovatz, B., Hohenwarter, A., Catoor, D., Chang, E. H., George, E. P. & Ritchie, R. O. A fracture-resistant high-entropy alloy for cryogenic applications. Science 345, 1153-1158, doi:10.1126/science.1254581 (2014)."
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ni20.00,annealed,arc-melted + cold-forged and cross-rolled (~60% reduction) + annealed (800°C & 1h),FCC,6.0,,,209.0,518.0,925.0,60.0,200.0,221.0,KIC,,"Gludovatz, B., Hohenwarter, A., Catoor, D., Chang, E. H., George, E. P. & Ritchie, R. O. A fracture-resistant high-entropy alloy for cryogenic applications. Science 345, 1153-1158, doi:10.1126/science.1254581 (2014)."
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ni20.00,annealed,arc-melted + cold-forged and cross-rolled (~60% reduction) + annealed (800°C & 1h),FCC,6.0,,,214.5,759.0,1280.0,71.0,77.0,219.0,KIC,,"Gludovatz, B., Hohenwarter, A., Catoor, D., Chang, E. H., George, E. P. & Ritchie, R. O. A fracture-resistant high-entropy alloy for cryogenic applications. Science 345, 1153-1158, doi:10.1126/science.1254581 (2014)."
Al5.88-Cr29.41-Fe29.41-Ni29.41-Ti5.88,as-cast,VLM,FCC+BCC+unknown,,,5.00157,,,,,298.0,33.5,KQ,1.5,"Seifi, M., Li, D., Yong, Z., Liaw, P. K. & Lewandowski, J. J. Fracture toughness and fatigue crack growth behavior of as-cast high-entropy alloys. Jom 67, 2288-2295, doi:10.1007/s11837-015-1563-9 (2015)."
Al16.67-Cr16.67-Cu16.67-Fe16.67-Ni33.33,as-cast,VLM,FCC+BCC+unknown,,,3.1470662999999997,,,,,298.0,42.5,KQ,2.5,"Seifi, M., Li, D., Yong, Z., Liaw, P. K. & Lewandowski, J. J. Fracture toughness and fatigue crack growth behavior of as-cast high-entropy alloys. Jom 67, 2288-2295, doi:10.1007/s11837-015-1563-9 (2015)."
Al16.67-Cr16.67-Cu16.67-Fe16.67-Ni33.33,as-cast,VLM,FCC+BCC+unknown,,,3.1470662999999997,,,,,473.0,46.5,KQ,0.5,"Seifi, M., Li, D., Yong, Z., Liaw, P. K. & Lewandowski, J. J. Fracture toughness and fatigue crack growth behavior of as-cast high-entropy alloys. Jom 67, 2288-2295, doi:10.1007/s11837-015-1563-9 (2015)."
